[501.0889, 503.0831, 504.9088, 506.5806, 508.1123, 509.5172, 510.8075, 511.9944, 513.0883, 514.0985, 515.0332, 515.9000, 516.7056, 517.4555, 518.1551, 518.8085, 519.4194, 519.9910, 520.5255, 521.0249, 521.4905, 521.9230, 522.3227, 522.6892, 523.0217, 523.3190, 523.5790, 523.7996, 523.9777, 524.1098, 524.1919, 524.2193, 524.1865, 524.0876, 523.9157, 523.6634, 523.3222, 522.8827, 522.3346, 521.6664, 520.8656, 519.9183, 518.8091, 517.5213, 516.0366, 514.3350, 512.3947, 510.1923, 507.7029, 504.9001, 501.7564, ],
[501.1030, 503.1287, 504.9880, 506.6948, 508.2620, 509.7023, 511.0274, 512.2481, 513.3746, 514.4159, 515.3805, 516.2757, 517.1082, 517.8839, 518.6080, 519.2849, 519.9183, 520.5114, 521.0665, 521.5858, 522.0703, 522.5210, 522.9380, 523.3209, 523.6688, 523.9804, 524.2536, 524.4859, 524.6742, 524.8147, 524.9031, 524.9345, 524.9033, 524.8030, 524.6265, 524.3660, 524.0127, 523.5569, 522.9879, 522.2939, 521.4622, 520.4785, 519.3275, 517.9924, 516.4552, 514.6961, 512.6941, 510.4266, 507.8700, 504.9992, 501.7885, ],
[501.1081, 503.1475, 505.0231, 506.7479, 508.3345, 509.7946, 511.1398, 512.3805, 513.5265, 514.5870, 515.5701, 516.4833, 517.3332, 518.1258, 518.8662, 519.5590, 520.2080, 520.8163, 521.3865, 521.9204, 522.4194, 522.8843, 523.3152, 523.7116, 524.0727, 524.3968, 524.6819, 524.9253, 525.1237, 525.2731, 525.3691, 525.4064, 525.3792, 525.2809, 525.1040, 524.8403, 524.4809, 524.0157, 523.4337, 522.7231, 521.8706, 520.8622, 519.6824, 518.3145, 516.7405, 514.9413, 512.8963, 510.5838, 507.9811, 505.0643, 501.8092, ],
[501.1048, 503.1409, 505.0160, 506.7426, 508.3327, 509.7977, 511.1485, 512.3956, 513.5485, 514.6161, 515.6065, 516.5272, 517.3848, 518.1853, 518.9339, 519.6350, 520.2926, 520.9099, 521.4893, 522.0329, 522.5419, 523.0170, 523.4584, 523.8656, 524.2375, 524.5725, 524.8685, 525.1224, 525.3311, 525.4902, 525.5952, 525.6406, 525.6203, 525.5275, 525.3546, 525.0931, 524.7337, 524.2662, 523.6795, 522.9615, 522.0989, 521.0774, 519.8816, 518.4950, 516.8998, 515.0772, 513.0072, 510.6687, 508.0398, 505.0977, 501.8193, ],
[501.0932, 503.1097, 504.9683, 506.6809, 508.2592, 509.7143, 511.0568, 512.2969, 513.4439, 514.5067, 515.4933, 516.4111, 517.2667, 518.0661, 518.8145, 519.5164, 520.1756, 520.7955, 521.3786, 521.9267, 522.4411, 522.9226, 523.3712, 523.7864, 524.1671, 524.5115, 524.8173, 525.0815, 525.3007, 525.4705, 525.5861, 525.6419, 525.6316, 525.5482, 525.3839, 525.1301, 524.7772, 524.3149, 523.7318, 523.0158, 522.1535, 521.1306, 519.9317, 518.5403, 516.9390, 515.1092, 513.0314, 510.6851, 508.0490, 505.1012, 501.8193, ],
[501.0737, 503.0547, 504.8810, 506.5644, 508.1159, 509.5467, 510.8670, 512.0869, 513.2155, 514.2617, 515.2333, 516.1378, 516.9817, 517.7710, 518.5108, 519.2058, 519.8598, 520.4760, 521.0570, 521.6046, 522.1200, 522.6040, 523.0566, 523.4772, 523.8645, 524.2169, 524.5317, 524.8061, 525.0362, 525.2178, 525.3458, 525.4145, 525.4175, 525.3475, 525.1967, 524.9562, 524.6165, 524.1668, 523.5960, 522.8915, 522.0401, 521.0274, 519.8380, 518.4557, 516.8630, 515.0418, 512.9728, 510.6361, 508.0110, 505.0762, 501.8099, ],
[501.0463, 502.9763, 504.7551, 506.3941, 507.9043, 509.2965, 510.5810, 511.7675, 512.8654, 513.8831, 514.8287, 515.7094, 516.5319, 517.3021, 518.0251, 518.7056, 519.3474, 519.9536, 520.5268, 521.0688, 521.5809, 522.0636, 522.5170, 522.9404, 523.3324, 523.6913, 524.0145, 524.2989, 524.5406, 524.7352, 524.8775, 524.9618, 524.9815, 524.9292, 524.7969, 524.5757, 524.2557, 523.8265, 523.2764, 522.5931, 521.7631, 520.7721, 519.6048, 518.2450, 516.6756, 514.8783, 512.8345, 510.5243, 507.9277, 505.0237, 501.7912, ],
[501.0114, 502.8751, 504.5912, 506.1709, 507.6252, 508.9648, 510.1999, 511.3402, 512.3948, 513.3724, 514.2809, 515.1275, 515.9189, 516.6610, 517.3589, 518.0172, 518.6398, 519.2297, 519.7895, 520.3209, 520.8253, 521.3030, 521.7541, 522.1778, 522.5727, 522.9369, 523.2678, 523.5622, 523.8162, 524.0251, 524.1839, 524.2866, 524.3265, 524.2962, 524.1875, 523.9915, 523.6982, 523.2971, 522.7765, 522.1239, 521.3259, 520.3682, 519.2355, 517.9117, 516.3796, 514.6215, 512.6186, 510.3516, 507.8004, 504.9448, 501.7637, ],
[500.9688, 502.7510, 504.3894, 505.8952, 507.2792, 508.5522, 509.7244, 510.8054, 511.8045, 512.7302, 513.5906, 514.3927, 515.1434, 515.8483, 516.5129, 517.1415, 517.7379, 518.3053, 518.8461, 519.3620, 519.8543, 520.3234, 520.7691, 521.1906, 521.5866, 521.9549, 522.2930, 522.5976, 522.8646, 523.0894, 523.2668, 523.3907, 523.4545, 523.4506, 523.3707, 523.2060, 522.9463, 522.5811, 522.0986, 521.4864, 520.7310, 519.8181, 518.7324, 517.4578, 515.9774, 514.2732, 512.3269, 510.1191, 507.6302, 504.8398, 501.7275, ],
[500.9186, 502.6043, 504.1500, 505.5670, 506.8664, 508.0588, 509.1545, 510.1634, 511.0946, 511.9567, 512.7579, 513.5052, 514.2054, 514.8644, 515.4872, 516.0785, 516.6419, 517.1805, 517.6968, 518.1923, 518.6683, 519.1251, 519.5624, 519.9795, 520.3748, 520.7462, 521.0910, 521.4059, 521.6867, 521.9289, 522.1271, 522.2753, 522.3666, 522.3936, 522.3479, 522.2206, 522.0015, 521.6801, 521.2445, 520.6824, 519.9801, 519.1234, 518.0971, 516.8849, 515.4701, 513.8347, 511.9603, 509.8278, 507.4176, 504.7094, 501.6828, ],
